sub,patch,env,leaveT,meanLT,dmLeave
4,3,1,14.36966746,17.28619419,-2.916526729
4,3,1,17.14179702,17.28619419,-0.144397163
4,1,1,8.099962219,17.28619419,-9.186231968
4,3,1,12.95538775,17.28619419,-4.330806432
4,3,1,17.00632557,17.28619419,-0.279868613
4,2,1,12.15638148,17.28619419,-5.129812711
4,3,1,21.00847504,17.28619419,3.722280857
4,1,1,11.21577477,17.28619419,-6.070419412
4,2,1,15.05724255,17.28619419,-2.228951641
4,2,1,12.95072448,17.28619419,-4.335469711
4,3,1,20.04556222,17.28619419,2.759368033
4,1,2,17.77576686,17.28619419,0.489572672
4,1,2,13.74478685,17.28619419,-3.541407341
4,2,2,16.76664075,17.28619419,-0.519553434
4,1,2,16.16227119,17.28619419,-1.123922997
4,3,2,23.06115085,17.28619419,5.774956662
4,2,2,25.30515257,17.28619419,8.018958383
4,2,2,16.64634773,17.28619419,-0.639846458
4,1,2,21.14588942,17.28619419,3.859695232
4,3,2,27.25046232,17.28619419,9.964268132
4,1,2,18.87252957,17.28619419,1.586335382
4,1,2,17.98360219,17.28619419,0.697408007
4,2,2,22.84636069,17.28619419,5.560166499
4,3,2,27.79287153,17.28619419,10.50667735
4,1,2,21.06755179,17.28619419,3.781357605
4,2,2,23.75652554,17.28619419,6.470331356
4,1,2,21.77489033,17.28619419,4.488696143
4,1,2,18.65078073,17.28619419,1.364586543
4,2,2,22.66520418,17.28619419,5.379009994
4,3,2,29.04170459,17.28619419,11.75551041
4,1,2,17.64439294,17.28619419,0.35819875
4,1,2,19.35126194,17.28619419,2.065067753
4,1,2,19.6537057,17.28619419,2.367511516
4,2,2,22.8352955,17.28619419,5.549101316
5,3,1,4.899885759,8.629635414,-3.729749655
5,2,1,5.389039948,8.629635414,-3.240595466
5,3,1,6.127068247,8.629635414,-2.502567167
5,1,1,5.913073473,8.629635414,-2.716561941
5,3,1,11.56879202,8.629635414,2.939156604
5,2,1,5.11814227,8.629635414,-3.511493144
5,1,1,2.489709036,8.629635414,-6.139926378
5,3,1,11.05010619,8.629635414,2.420470777
5,3,1,14.63245956,8.629635414,6.002824148
5,2,1,10.90229854,8.629635414,2.272663127
5,1,1,8.828318866,8.629635414,0.198683452
5,3,1,6.376785853,8.629635414,-2.252849561
5,2,1,5.711108289,8.629635414,-2.918527125
5,1,1,3.710916498,8.629635414,-4.918718916
5,3,1,8.230034978,8.629635414,-0.399600436
5,3,1,7.745494997,8.629635414,-0.884140417
5,2,1,8.082229894,8.629635414,-0.54740552
5,3,1,8.418059396,8.629635414,-0.211576018
5,3,1,9.606753479,8.629635414,0.977118065
